Role,Name
Regional Localization Analysts,Andrey Kuzmin (RU)
Regional Localization Analysts,Minjin Lee (KR)
Regional Localization Analysts,Pablo Lloreda (ES)
Regional Localization Analysts,Rubén López (ES)
Regional Localization Analysts,Jaewoo Mo (KR)
Regional Localization Analysts,Kai Moosmann (DE)
Regional Localization Analysts,Elena Ovchinnikova (RU)
Regional Localization Analysts,Anna Parera Bohigas (ES)
Regional Localization Analysts,Heeyoung Park (KR)
Regional Localization Analysts,Kenneth Pinó (ES)
Regional Localization Analysts,Michael Radnitz (DE)
Regional Localization Analysts,Benjamin Schmidt (FR)
Regional Localization Analysts,Peter Schneider (DE)
Regional Localization Analysts,Pablo Martín Siota (DE)
Regional Localization Analysts,Daniil Sokolov (RU)
Regional Localization Analysts,Frédéric Vasseur (FR)
Regional Localization Analysts,Dean Yang (CN)
Vice President of Online Technologies,Robert Bridenbecker
Senior Producer,Jason Leu
Producers,Bryan Chang
Producers,Justin Goad
Producers,Matthew Hawley
Producers,Kim Phan
Battle.net Lead,Matthew Versluys
Battle.net Programmers,Micah Caldwell
Battle.net Programmers,Bryan Cleveland
Battle.net Programmers,Anne-Sophie Lefebvre
Battle.net Programmers,Jeff Mears
Battle.net Programmers,Stefan Mohler
Battle.net Programmers,Brian Morin
Battle.net Programmers,Ryan Mills
Battle.net Programmers,Nicholas Rivera
Battle.net Programmers,Andrew Spiering
Battle.net Programmers,Hanlong Wang
Battle.net Research Manager,Greg Ashe
Battle.net Research Analysts,Matthew Adams
Battle.net Research Analysts,David Carey
Battle.net Research Analysts,James Chao
Battle.net Research Analysts,Norman Harms
Battle.net Research Analysts,Clint Rice
Battle.net Research Analysts,Matt Wheeler
Battle.net Research Analysts,Micah L Wilson
Web Team Leads,Mike Hein
Web Team Leads,Ali Vatani
Web Team,Cord Bartlett
Web Team,Todd Blank
Web Team,Qi Ming Chen
Web Team,Jeremy Craig
Web Team,Sarah Doebler
Web Team,Randal Dumoret
Web Team,David Eckel
Web Team,Geoff Fraizer
Web Team,Vincent Francoeur
Web Team,Victor Gonzalez Jr
Web Team,Dohyeong Kim
Web Team,Edward Lee
Web Team,Martin Leidenfrost
